Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,13/08/2021 18:30,Borussia-Park,Borussia Mönchengladbach,FC Bayern,1 - 1
2,1,14/08/2021 13:30,Schüco-Arena,Arminia Bielefeld,SC Freiburg,0 - 0
3,1,14/08/2021 13:30,WWK Arena,FC Augsburg,Hoffenheim,0 - 4
4,1,14/08/2021 13:30,Mercedes-Benz Arena,VfB Stuttgart,SpVgg Greuther Fürth,5 - 1
5,1,14/08/2021 13:30,Stadion An der Alten Försterei,Union Berlin,Bayer 04 Leverkusen,1 - 1
6,1,14/08/2021 13:30,Volkswagen Arena,VfL Wolfsburg,VfL Bochum,1 - 0
7,1,14/08/2021 16:30,Signal Iduna Park,Borussia Dortmund,Eintracht Frankfurt,5 - 2
8,1,15/08/2021 13:30,Opel Arena,Mainz 05,RB Leipzig,1 - 0
9,1,15/08/2021 15:30,RheinEnergieStadion,1. FC Köln,Hertha BSC,3 - 1
10,2,20/08/2021 18:30,Red Bull Arena,RB Leipzig,VfB Stuttgart,4 - 0
11,2,21/08/2021 13:30,Sportpark Ronhof Thomas Sommer,SpVgg Greuther Fürth,Arminia Bielefeld,1 - 1
12,2,21/08/2021 13:30,Vonovia Ruhrstadion,VfL Bochum,Mainz 05,2 - 0
13,2,21/08/2021 13:30,Olympiastadion,Hertha BSC,VfL Wolfsburg,1 - 2
14,2,21/08/2021 13:30,SC-Stadion,SC Freiburg,Borussia Dortmund,2 - 1
15,2,21/08/2021 13:30,Deutsche Bank Park,Eintracht Frankfurt,FC Augsburg,0 - 0
16,2,21/08/2021 16:30,BayArena,Bayer 04 Leverkusen,Borussia Mönchengladbach,4 - 0
17,2,22/08/2021 13:30,PreZero Arena,Hoffenheim,Union Berlin,2 - 2
18,2,22/08/2021 15:30,Allianz Arena,FC Bayern,1. FC Köln,3 - 2
19,3,27/08/2021 18:30,Signal Iduna Park,Borussia Dortmund,Hoffenheim,3 - 2
20,3,28/08/2021 13:30,RheinEnergieStadion,1. FC Köln,VfL Bochum,2 - 1
21,3,28/08/2021 13:30,Schüco-Arena,Arminia Bielefeld,Eintracht Frankfurt,1 - 1
22,3,28/08/2021 13:30,WWK Arena,FC Augsburg,Bayer 04 Leverkusen,1 - 4
23,3,28/08/2021 13:30,Opel Arena,Mainz 05,SpVgg Greuther Fürth,3 - 0
24,3,28/08/2021 13:30,Mercedes-Benz Arena,VfB Stuttgart,SC Freiburg,2 - 3
25,3,28/08/2021 16:30,Allianz Arena,FC Bayern,Hertha BSC,5 - 0
26,3,29/08/2021 13:30,Stadion An der Alten Försterei,Union Berlin,Borussia Mönchengladbach,2 - 1
27,3,29/08/2021 15:30,Volkswagen Arena,VfL Wolfsburg,RB Leipzig,1 - 0
28,4,11/09/2021 13:30,Sportpark Ronhof Thomas Sommer,SpVgg Greuther Fürth,VfL Wolfsburg,0 - 2
29,4,11/09/2021 13:30,PreZero Arena,Hoffenheim,Mainz 05,0 - 2
30,4,11/09/2021 13:30,SC-Stadion,SC Freiburg,1. FC Köln,1 - 1
31,4,11/09/2021 13:30,Stadion An der Alten Försterei,Union Berlin,FC Augsburg,0 - 0
32,4,11/09/2021 13:30,BayArena,Bayer 04 Leverkusen,Borussia Dortmund,3 - 4
33,4,11/09/2021 16:30,Red Bull Arena,RB Leipzig,FC Bayern,1 - 4
34,4,12/09/2021 13:30,Deutsche Bank Park,Eintracht Frankfurt,VfB Stuttgart,1 - 1
35,4,12/09/2021 15:30,Vonovia Ruhrstadion,VfL Bochum,Hertha BSC,1 - 3
36,4,12/09/2021 17:30,Borussia-Park,Borussia Mönchengladbach,Arminia Bielefeld,3 - 1
37,5,17/09/2021 18:30,Olympiastadion,Hertha BSC,SpVgg Greuther Fürth,2 - 1
38,5,18/09/2021 13:30,Schüco-Arena,Arminia Bielefeld,Hoffenheim,0 - 0
39,5,18/09/2021 13:30,WWK Arena,FC Augsburg,Borussia Mönchengladbach,1 - 0
40,5,18/09/2021 13:30,Opel Arena,Mainz 05,SC Freiburg,0 - 0
41,5,18/09/2021 13:30,Allianz Arena,FC Bayern,VfL Bochum,7 - 0
42,5,18/09/2021 16:30,RheinEnergieStadion,1. FC Köln,RB Leipzig,1 - 1
43,5,19/09/2021 13:30,Mercedes-Benz Arena,VfB Stuttgart,Bayer 04 Leverkusen,1 - 3
44,5,19/09/2021 15:30,Signal Iduna Park,Borussia Dortmund,Union Berlin,4 - 2
45,5,19/09/2021 17:30,Volkswagen Arena,VfL Wolfsburg,Eintracht Frankfurt,1 - 1
46,6,24/09/2021 18:30,Sportpark Ronhof Thomas Sommer,SpVgg Greuther Fürth,FC Bayern,1 - 3
47,6,25/09/2021 13:30,PreZero Arena,Hoffenheim,VfL Wolfsburg,3 - 1
48,6,25/09/2021 13:30,Stadion An der Alten Försterei,Union Berlin,Arminia Bielefeld,1 - 0
49,6,25/09/2021 13:30,BayArena,Bayer 04 Leverkusen,Mainz 05,1 - 0
50,6,25/09/2021 13:30,Deutsche Bank Park,Eintracht Frankfurt,1. FC Köln,1 - 1
51,6,25/09/2021 13:30,Red Bull Arena,RB Leipzig,Hertha BSC,6 - 0
52,6,25/09/2021 16:30,Borussia-Park,Borussia Mönchengladbach,Borussia Dortmund,1 - 0
53,6,26/09/2021 13:30,Vonovia Ruhrstadion,VfL Bochum,VfB Stuttgart,0 - 0
54,6,26/09/2021 15:30,SC-Stadion,SC Freiburg,FC Augsburg,3 - 0
55,7,01/10/2021 18:30,RheinEnergieStadion,1. FC Köln,SpVgg Greuther Fürth,3 - 1
57,7,02/10/2021 13:30,Olympiastadion,Hertha BSC,SC Freiburg,1 - 2
59,7,02/10/2021 13:30,Mercedes-Benz Arena,VfB Stuttgart,Hoffenheim,3 - 1
60,7,02/10/2021 13:30,Volkswagen Arena,VfL Wolfsburg,Borussia Mönchengladbach,1 - 3
61,7,02/10/2021 13:30,Signal Iduna Park,Borussia Dortmund,FC Augsburg,2 - 1
62,7,02/10/2021 16:30,Red Bull Arena,RB Leipzig,VfL Bochum,3 - 0
58,7,03/10/2021 13:30,Opel Arena,Mainz 05,Union Berlin,1 - 2
63,7,03/10/2021 15:30,Allianz Arena,FC Bayern,Eintracht Frankfurt,1 - 2
56,7,03/10/2021 17:30,Schüco-Arena,Arminia Bielefeld,Bayer 04 Leverkusen,0 - 4
66,8,15/10/2021 18:30,PreZero Arena,Hoffenheim,1. FC Köln,5 - 0
64,8,16/10/2021 13:30,Sportpark Ronhof Thomas Sommer,SpVgg Greuther Fürth,VfL Bochum,0 - 1
67,8,16/10/2021 13:30,SC-Stadion,SC Freiburg,RB Leipzig,1 - 1
69,8,16/10/2021 13:30,Stadion An der Alten Försterei,Union Berlin,VfL Wolfsburg,2 - 0
71,8,16/10/2021 13:30,Deutsche Bank Park,Eintracht Frankfurt,Hertha BSC,1 - 2
72,8,16/10/2021 13:30,Signal Iduna Park,Borussia Dortmund,Mainz 05,3 - 1
68,8,16/10/2021 16:30,Borussia-Park,Borussia Mönchengladbach,VfB Stuttgart,1 - 1
