Match Number,Round Number,Date,Location,Home Team,Away Team,Result
4,1,13/08/2021 20:30,Vodafone Park,Besiktas,Çaykur Rizespor,3 - 0
3,1,14/08/2021 19:15,Atatürk Olympic Stadium,Fatih Karagümrük,Gaziantep Futbol Kulübü,3 - 2
1,1,14/08/2021 21:45,New Hatay Stadium,Hatayspor,Kasimpasa,1 - 1
10,1,14/08/2021 21:45,Bornova Stadium,Altay,Kayserispor,3 - 0
9,1,15/08/2021 19:15,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Alanyaspor,0 - 1
6,1,15/08/2021 21:45,Antalya Stadium,Antalyaspor,Göztepe,1 - 1
8,1,15/08/2021 21:45,New Adana Stadium,Adana Demirspor,Fenerbahçe,0 - 1
5,1,16/08/2021 19:15,New Malatya Stadium,Yeni Malatyaspor,Trabzonspor,1 - 5
7,1,16/08/2021 19:15,New Sivas 4 Eylül Stadium,Sivasspor,Konyaspor,0 - 1
2,1,16/08/2021 21:45,Çotanak Stadium,Giresunspor,Galatasaray,0 - 2
16,2,20/08/2021 20:30,Kadir Has Stadium,Kayserispor,Adana Demirspor,1 - 1
12,2,21/08/2021 19:15,Recep Tayyip Erdogan Stadium,Kasimpasa,Giresunspor,2 - 0
20,2,21/08/2021 19:15,Yeni Rize Sehir Stadi,Çaykur Rizespor,Fatih Karagümrük,0 - 0
11,2,21/08/2021 21:45,New Gaziantep Stadium,Gaziantep Futbol Kulübü,Besiktas,0 - 0
15,2,21/08/2021 21:45,Bahçesehir Okullari Stadium,Alanyaspor,Altay,1 - 4
17,2,22/08/2021 19:15,Konya Metropolitan Municipality Stadium,Konyaspor,Istanbul Basaksehir,2 - 1
18,2,22/08/2021 21:45,Sükrü Saracoglu Stadium,Fenerbahçe,Antalyaspor,2 - 0
19,2,22/08/2021 21:45,Gürsel Aksel Stadium,Göztepe,Yeni Malatyaspor,0 - 1
14,2,23/08/2021 19:15,Senol Günes Stadium,Trabzonspor,Sivasspor,2 - 1
13,2,23/08/2021 21:45,Türk Telekom Stadium,Galatasaray,Atakas Hatayspor,2 - 1
26,3,27/08/2021 20:30,Antalya Stadium,Antalyaspor,Çaykur Rizespor,3 - 2
28,3,27/08/2021 21:45,New Adana Stadium,Adana Demirspor,Konyaspor,1 - 1
25,3,28/08/2021 19:15,New Malatya Stadium,Yeni Malatyaspor,Gaziantep Futbol Kulübü,2 - 0
29,3,28/08/2021 19:15,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Kayserispor,0 - 1
21,3,28/08/2021 21:45,New Hatay Stadium,Atakas Hatayspor,Alanyaspor,5 - 0
24,3,28/08/2021 21:45,Vodafone Park,Besiktas,Fatih Karagümrük,1 - 0
23,3,29/08/2021 19:15,Recep Tayyip Erdogan Stadium,Kasimpasa,Galatasaray,2 - 2
27,3,29/08/2021 19:15,New Sivas 4 Eylül Stadium,Sivasspor,Göztepe,2 - 2
22,3,29/08/2021 21:45,Çotanak Stadium,Giresunspor,Trabzonspor,0 - 1
30,3,29/08/2021 21:45,Bornova Stadium,Altay,Fenerbahçe,0 - 2
32,4,11/09/2021 17:00,Atatürk Olympic Stadium,Fatih Karagümrük,Adana Demirspor,4 - 0
37,4,11/09/2021 17:00,Konya Metropolitan Municipality Stadium,Konyaspor,Altay,3 - 1
33,4,11/09/2021 20:00,Vodafone Park,Besiktas,Yeni Malatyaspor,3 - 0
36,4,11/09/2021 20:00,Kadir Has Stadium,Kayserispor,Kasimpasa,2 - 0
38,4,12/09/2021 17:00,Sükrü Saracoglu Stadium,Fenerbahçe,Sivasspor,1 - 1
40,4,12/09/2021 17:00,Yeni Rize Sehir Stadi,Çaykur Rizespor,Atakas Hatayspor,0 - 2
34,4,12/09/2021 20:00,Senol Günes Stadium,Trabzonspor,Galatasaray,2 - 2
39,4,12/09/2021 20:00,Gürsel Aksel Stadium,Göztepe,Istanbul Basaksehir,2 - 1
31,4,13/09/2021 20:00,New Gaziantep Stadium,Gaziantep Futbol Kulübü,Antalyaspor,2 - 0
35,4,13/09/2021 20:00,Bahçesehir Okullari Stadium,Alanyaspor,Giresunspor,1 - 0
45,5,17/09/2021 20:00,New Malatya Stadium,Yeni Malatyaspor,Fatih Karagümrük,3 - 4
50,5,17/09/2021 20:00,Bornova Stadium,Altay,Göztepe,2 - 1
47,5,18/09/2021 13:30,New Sivas 4 Eylül Stadium,Sivasspor,Gaziantep Futbol Kulübü,1 - 1
43,5,18/09/2021 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Trabzonspor,0 - 1
46,5,18/09/2021 19:00,Antalya Stadium,Antalyaspor,Besiktas,2 - 3
48,5,18/09/2021 19:00,New Adana Stadium,Adana Demirspor,Çaykur Rizespor,3 - 1
42,5,19/09/2021 13:30,Çotanak Stadium,Giresunspor,Konyaspor,0 - 0
44,5,19/09/2021 16:00,Türk Telekom Stadium,Galatasaray,Alanyaspor,0 - 1
41,5,19/09/2021 19:00,New Hatay Stadium,Atakas Hatayspor,Kayserispor,2 - 1
49,5,19/09/2021 19:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Fenerbahçe,2 - 0
52,6,21/09/2021 17:00,Atatürk Olympic Stadium,Fatih Karagümrük,Antalyaspor,0 - 0
60,6,21/09/2021 17:00,Yeni Rize Sehir Stadi,Çaykur Rizespor,Altay,1 - 2
53,6,21/09/2021 20:00,Vodafone Park,Besiktas,Adana Demirspor,3 - 3
54,6,21/09/2021 20:00,New Malatya Stadium,Yeni Malatyaspor,Sivasspor,0 - 1
51,6,22/09/2021 17:00,New Gaziantep Stadium,Gaziantep Futbol Kulübü,Istanbul Basaksehir,1 - 0
56,6,22/09/2021 20:00,Kadir Has Stadium,Kayserispor,Galatasaray,3 - 0
59,6,22/09/2021 20:00,Gürsel Aksel Stadium,Göztepe,Atakas Hatayspor,0 - 2
57,6,23/09/2021 17:00,Konya Metropolitan Municipality Stadium,Konyaspor,Trabzonspor,2 - 2
55,6,23/09/2021 20:00,Bahçesehir Okullari Stadium,Alanyaspor,Kasimpasa,2 - 0
58,6,23/09/2021 20:00,Sükrü Saracoglu Stadium,Fenerbahçe,Giresunspor,2 - 1
70,7,24/09/2021 20:00,Bornova Stadium,Altay,Besiktas,2 - 1
67,7,25/09/2021 13:30,New Sivas 4 Eylül Stadium,Sivasspor,Fatih Karagümrük,4 - 0
66,7,25/09/2021 16:00,Antalya Stadium,Antalyaspor,Yeni Malatyaspor,1 - 0
68,7,25/09/2021 19:00,New Adana Stadium,Adana Demirspor,Gaziantep Futbol Kulübü,4 - 0
62,7,26/09/2021 13:30,Çotanak Stadium,Giresunspor,Kayserispor,1 - 1
61,7,26/09/2021 16:00,New Hatay Stadium,Atakas Hatayspor,Fenerbahçe,1 - 2
69,7,26/09/2021 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Çaykur Rizespor,3 - 0
64,7,26/09/2021 19:00,Türk Telekom Stadium,Galatasaray,Göztepe,2 - 1
63,7,27/09/2021 20:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Konyaspor,2 - 2
65,7,27/09/2021 20:00,Senol Günes Stadium,Trabzonspor,Alanyaspor,1 - 1
72,8,01/10/2021 20:00,Atatürk Olympic Stadium,Fatih Karagümrük,Istanbul Basaksehir,3 - 1
75,8,01/10/2021 20:00,Antalya Stadium,Antalyaspor,Adana Demirspor,1 - 2
77,8,02/10/2021 13:30,Konya Metropolitan Municipality Stadium,Konyaspor,Alanyaspor,1 - 1
76,8,02/10/2021 16:00,Kadir Has Stadium,Kayserispor,Trabzonspor,1 - 2
79,8,02/10/2021 16:00,Gürsel Aksel Stadium,Göztepe,Giresunspor,0 - 1
73,8,02/10/2021 19:00,Vodafone Park,Besiktas,Sivasspor,2 - 1
74,8,03/10/2021 13:30,New Malatya Stadium,Yeni Malatyaspor,Atakas Hatayspor,0 - 2
71,8,03/10/2021 16:00,New Gaziantep Stadium,Gaziantep Futbol Kulübü,Altay,4 - 1
78,8,03/10/2021 16:00,Sükrü Saracoglu Stadium,Fenerbahçe,Kasimpasa,2 - 1
80,8,03/10/2021 19:00,Yeni Rize Sehir Stadi,Çaykur Rizespor,Galatasaray,2 - 3
89,9,15/10/2021 20:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Besiktas,3 - 2
82,9,16/10/2021 13:30,Çotanak Stadium,Giresunspor,Çaykur Rizespor,2 - 0
87,9,16/10/2021 16:00,New Sivas 4 Eylül Stadium,Sivasspor,Antalyaspor,2 - 2
88,9,16/10/2021 19:00,New Adana Stadium,Adana Demirspor,Yeni Malatyaspor,0 - 2
83,9,17/10/2021 13:30,Recep Tayyip Erdogan Stadium,Kasimpasa,Göztepe,1 - 2
84,9,17/10/2021 16:00,Türk Telekom Stadium,Galatasaray,Konyaspor,1 - 0
90,9,17/10/2021 16:00,Bornova Stadium,Altay,Fatih Karagümrük,0 - 1
85,9,17/10/2021 19:00,Senol Günes Stadium,Trabzonspor,Fenerbahçe,3 - 1
81,9,18/10/2021 20:00,New Hatay Stadium,Atakas Hatayspor,Gaziantep Futbol Kulübü,2 - 1
86,9,18/10/2021 20:00,Bahçesehir Okullari Stadium,Alanyaspor,Kayserispor,6 - 3
94,10,22/10/2021 20:00,New Malatya Stadium,Yeni Malatyaspor,Altay,2 - 1
100,10,23/10/2021 13:30,Yeni Rize Sehir Stadi,Çaykur Rizespor,Kasimpasa,2 - 1
91,10,23/10/2021 16:00,New Gaziantep Stadium,Gaziantep Futbol Kulübü,Giresunspor,1 - 1
97,10,23/10/2021 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Kayserispor,2 - 0
99,10,23/10/2021 19:00,Gürsel Aksel Stadium,Göztepe,Trabzonspor,0 - 1
92,10,24/10/2021 13:30,Atatürk Olympic Stadium,Fatih Karagümrük,Atakas Hatayspor,1 - 1
95,10,24/10/2021 16:00,Antalya Stadium,Antalyaspor,Istanbul Basaksehir,1 - 2
96,10,24/10/2021 16:00,New Sivas 4 Eylül Stadium,Sivasspor,Adana Demirspor,1 - 1
98,10,24/10/2021 19:00,Sükrü Saracoglu Stadium,Fenerbahçe,Alanyaspor,1 - 2
93,10,25/10/2021 20:00,Vodafone Park,Besiktas,Galatasaray,2 - 1
105,11,29/10/2021 20:00,Senol Günes Stadium,Trabzonspor,Çaykur Rizespor,2 - 1
103,11,30/10/2021 13:30,Recep Tayyip Erdogan Stadium,Kasimpasa,Yeni Malatyaspor,2 - 0
101,11,30/10/2021 16:00,New Hatay Stadium,Atakas Hatayspor,Besiktas,1 - 0
110,11,30/10/2021 16:00,Bornova Stadium,Altay,Sivasspor,1 - 1
108,11,30/10/2021 19:00,Konya Metropolitan Municipality Stadium,Konyaspor,Fenerbahçe,2 - 1
107,11,31/10/2021 13:30,Kadir Has Stadium,Kayserispor,Fatih Karagümrük,2 - 1
106,11,31/10/2021 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Göztepe,2 - 2
104,11,31/10/2021 19:00,Türk Telekom Stadium,Galatasaray,Gaziantep Futbol Kulübü,2 - 0
102,11,01/11/2021 20:00,Çotanak Stadium,Giresunspor,Antalyaspor,1 - 2
109,11,01/11/2021 20:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Adana Demirspor,2 - 1
111,12,05/11/2021 20:00,New Gaziantep Stadium,Gaziantep Futbol Kulübü,Kasimpasa,2 - 0
120,12,05/11/2021 20:00,Yeni Rize Sehir Stadi,Çaykur Rizespor,Alanyaspor,2 - 0
116,12,06/11/2021 13:30,New Sivas 4 Eylül Stadium,Sivasspor,Giresunspor,0 - 0
114,12,06/11/2021 16:00,New Malatya Stadium,Yeni Malatyaspor,Istanbul Basaksehir,1 - 3
